sg,window,negative,ns_exponent,min_count,vector_size,epochs,HR@10,NDCG@10,train_time_sec
0,3,5,-1.0,3,100,5,0.002,0.0013,4.24
0,3,5,-1.0,3,100,50,0.008,0.0053,32.04
0,3,5,-1.0,3,300,5,0.004,0.0027,6.69
0,3,5,-1.0,3,300,50,0.01,0.0051,49.29
0,3,5,-1.0,10,100,5,0.002,0.001,1.85
0,3,5,-1.0,10,100,50,0.016,0.0103,14.33
0,3,5,-1.0,10,300,5,0.002,0.002,2.49
0,3,5,-1.0,10,300,50,0.014,0.0099,20.89
0,3,5,0.75,3,100,5,0.0,0.0,3.6
0,3,5,0.75,3,100,50,0.026,0.0202,26.84
0,3,5,0.75,3,300,5,0.008,0.0047,5.48
0,3,5,0.75,3,300,50,0.028,0.0167,41.81
0,3,5,0.75,10,100,5,0.002,0.0013,1.75
0,3,5,0.75,10,100,50,0.01,0.0044,13.75
0,3,5,0.75,10,300,5,0.004,0.0027,2.39
0,3,5,0.75,10,300,50,0.014,0.0078,19.41
0,3,15,-1.0,3,100,5,0.0,0.0,6.55
0,3,15,-1.0,3,100,50,0.012,0.0065,56.84
0,3,15,-1.0,3,300,5,0.002,0.001,10.6
0,3,15,-1.0,3,300,50,0.012,0.0058,94.35
0,3,15,-1.0,10,100,5,0.002,0.0007,2.51
0,3,15,-1.0,10,100,50,0.016,0.0107,21.83
0,3,15,-1.0,10,300,5,0.004,0.0019,4.2
0,3,15,-1.0,10,300,50,0.016,0.0101,39.81
0,3,15,0.75,3,100,5,0.002,0.0013,6.58
0,3,15,0.75,3,100,50,0.03,0.0171,53.89
0,3,15,0.75,3,300,5,0.006,0.0026,10.17
0,3,15,0.75,3,300,50,0.034,0.0178,89.31
0,3,15,0.75,10,100,5,0.008,0.0032,2.5
0,3,15,0.75,10,100,50,0.012,0.0077,21.5
0,3,15,0.75,10,300,5,0.004,0.0016,4.45
0,3,15,0.75,10,300,50,0.018,0.0097,40.23
0,10,5,-1.0,3,100,5,0.002,0.002,3.97
0,10,5,-1.0,3,100,50,0.008,0.0032,30.88
0,10,5,-1.0,3,300,5,0.006,0.0036,5.64
0,10,5,-1.0,3,300,50,0.006,0.0024,50.69
0,10,5,-1.0,10,100,5,0.002,0.0009,1.83
0,10,5,-1.0,10,100,50,0.022,0.0145,16.72
0,10,5,-1.0,10,300,5,0.006,0.0034,3.24
0,10,5,-1.0,10,300,50,0.024,0.013,25.03
0,10,5,0.75,3,100,5,0.002,0.002,3.98
0,10,5,0.75,3,100,50,0.018,0.0105,30.14
0,10,5,0.75,3,300,5,0.008,0.0046,5.66
0,10,5,0.75,3,300,50,0.016,0.0092,47.45
