sg,window,negative,ns_exponent,min_count,hr10,ndcg10,time
0,3,5,-1.0,3,0.01,0.006470918913350149,6.6
0,3,5,-1.0,5,0.004,0.0027124143742160442,4.4
0,3,5,-1.0,10,0.006,0.002351835267104859,2.8
0,3,5,-0.5,3,0.008,0.005974273881358959,6.7
0,3,5,-0.5,5,0.008,0.004773705614469083,4.7
0,3,5,-0.5,10,0.006,0.0030355651216119983,2.9
0,3,5,0.0,3,0.01,0.0064948492520423345,7.1
0,3,5,0.0,5,0.01,0.006486119988685128,5.4
0,3,5,0.0,10,0.01,0.0062140778956048335,3.2
0,3,5,0.5,3,0.008,0.004463413107474748,7.6
0,3,5,0.5,5,0.014,0.00783998915977869,5.3
0,3,5,0.5,10,0.006,0.002442049151106653,3.1
0,3,5,1.0,3,0.006,0.003839989159778691,6.9
0,3,5,1.0,5,0.004,0.0019742738813589593,5.2
0,3,5,1.0,10,0.008,0.004236133388501875,3.3
0,3,10,-1.0,3,0.002,0.0005781296526357758,9.9
0,3,10,-1.0,5,0.002,0.002,6.4
0,3,10,-1.0,10,0.006,0.0038613531161467863,3.5
0,3,10,-0.5,3,0.004,0.0016020599913279625,9.3
0,3,10,-0.5,5,0.004,0.003,6.0
0,3,10,-0.5,10,0.01,0.004630757962088247,3.4
0,3,10,0.0,3,0.01,0.00373091630798757,9.2
0,3,10,0.0,5,0.008,0.004149471220266129,6.1
0,3,10,0.0,10,0.004,0.0018927892607143726,3.4
0,3,10,0.5,3,0.004,0.0019285261738095816,8.9
0,3,10,0.5,5,0.008,0.0031375855800168146,5.8
0,3,10,0.5,10,0.01,0.0054750478903945595,3.4
0,3,10,1.0,3,0.01,0.004080423316808188,8.0
0,3,10,1.0,5,0.008,0.003839989159778691,5.6
0,3,10,1.0,10,0.01,0.004867063142073332,3.3
0,3,15,-1.0,3,0.0,0.0,11.5
0,3,15,-1.0,5,0.004,0.0021232126232897013,7.6
0,3,15,-1.0,10,0.006,0.0026350587306158695,4.2
0,3,15,-0.5,3,0.004,0.0014403722811357498,11.9
0,3,15,-0.5,5,0.006,0.0036666666666666666,7.6
0,3,15,-0.5,10,0.006,0.002552403533994735,4.2
0,3,15,0.0,3,0.006,0.0026350587306158695,12.0
0,3,15,0.0,5,0.008,0.0030490485659859243,7.8
0,3,15,0.0,10,0.008,0.00597427388135896,4.2
0,3,15,0.5,3,0.006,0.002494849252042335,11.6
0,3,15,0.5,5,0.008,0.0040517387970992825,7.6
0,3,15,0.5,10,0.008,0.003595192840476248,4.2
0,3,15,1.0,3,0.008,0.005261859507142915,10.4
0,3,15,1.0,5,0.01,0.005701342275925477,7.1
0,3,15,1.0,10,0.008,0.00452371901428583,4.2
0,5,5,-1.0,3,0.008,0.004725272614617664,6.4
0,5,5,-1.0,5,0.004,0.0017737056144690832,4.4
0,5,5,-1.0,10,0.008,0.00381426304113765,2.9
0,5,5,-0.5,3,0.01,0.006576333872686922,6.6
0,5,5,-0.5,5,0.01,0.004158949536384911,4.4
0,5,5,-0.5,10,0.012,0.005389249050170972,2.8
0,5,5,0.0,3,0.01,0.005948547762717919,6.6
0,5,5,0.0,5,0.014,0.0075278479913302426,4.4
0,5,5,0.0,10,0.008,0.005297596420238124,2.8
0,5,5,0.5,3,0.012,0.006494849252042335,6.3
0,5,5,0.5,5,0.008,0.004123212623289701,4.3
0,5,5,0.5,10,0.006,0.0026020599913279623,3.1
0,5,5,1.0,3,0.004,0.002261859507142915,6.0
0,5,5,1.0,5,0.012,0.004821130191989365,4.2
0,5,5,1.0,10,0.01,0.004418118812414466,2.9
0,5,10,-1.0,3,0.0,0.0,9.0
0,5,10,-1.0,5,0.004,0.0016350587306158695,6.0
0,5,10,-1.0,10,0.008,0.003613694774247774,3.6
0,5,10,-0.5,3,0.004,0.0018639194984708775,9.2
0,5,10,-0.5,5,0.006,0.0038613531161467863,6.1
0,5,10,-0.5,10,0.004,0.003,3.3
0,5,10,0.0,3,0.008,0.0045474112289381665,9.2
0,5,10,0.0,5,0.012,0.006489592638604885,6.2
0,5,10,0.0,10,0.008,0.004928526173809582,3.6
0,5,10,0.5,3,0.006,0.0020642496413209033,9.1
0,5,10,0.5,5,0.008,0.0033874003887168574,6.1
0,5,10,0.5,10,0.012,0.0071018486669216065,3.4
0,5,10,1.0,3,0.008,0.003615495493007945,8.3
0,5,10,1.0,5,0.01,0.0041417145570612265,5.7
0,5,10,1.0,10,0.014,0.007445192794709108,3.4
0,5,15,-1.0,3,0.0,0.0,11.5
0,5,15,-1.0,5,0.004,0.002261859507142915,7.8
0,5,15,-1.0,10,0.008,0.0038757260728739,4.4
0,5,15,-0.5,3,0.004,0.003,11.9
0,5,15,-0.5,5,0.008,0.005773705614469083,7.9
0,5,15,-0.5,10,0.008,0.0055474112289381665,4.3
0,5,15,0.0,3,0.008,0.004595192840476247,12.1
0,5,15,0.0,5,0.004,0.0027124143742160442,7.9
0,5,15,0.0,10,0.012,0.008630929753571458,4.3
0,5,15,0.5,3,0.004,0.003261859507142915,11.7
0,5,15,0.5,5,0.016,0.006753970585377949,7.8
0,5,15,0.5,10,0.012,0.006385072130432616,4.2
0,5,15,1.0,3,0.012,0.00598969850408467,10.6
0,5,15,1.0,5,0.01,0.0048927892607143735,7.3
0,5,15,1.0,10,0.014,0.006818563809665274,4.2
0,7,5,-1.0,3,0.006,0.003974273881358959,6.5
0,7,5,-1.0,5,0.008,0.002579885588452971,4.5
0,7,5,-1.0,10,0.008,0.00346597948979884,2.9
0,7,5,-0.5,3,0.008,0.004439482768782562,6.6
0,7,5,-0.5,5,0.01,0.004764153171315327,4.5
0,7,5,-0.5,10,0.008,0.0047898792899563674,2.8
0,7,5,0.0,3,0.012,0.006542220948057356,6.5
0,7,5,0.0,5,0.01,0.005789879289956368,4.5
0,7,5,0.0,10,0.008,0.0030066953593685035,2.8
0,7,5,0.5,3,0.014,0.0073034022672534395,6.3
0,7,5,0.5,5,0.012,0.004547464110443426,4.4
0,7,5,0.5,10,0.01,0.0033296608642298673,2.8
0,7,5,1.0,3,0.012,0.004592269424134356,6.7
0,7,5,1.0,5,0.008,0.003605203634930417,5.4
0,7,5,1.0,10,0.012,0.004566151286749543,2.8
0,7,10,-1.0,3,0.0,0.0,9.3
0,7,10,-1.0,5,0.004,0.0014861199886851274,6.1
0,7,10,-1.0,10,0.01,0.006506655826445357,3.4
0,7,10,-0.5,3,0.006,0.00223298974489942,9.2
0,7,10,-0.5,5,0.006,0.0037124143742160443,6.2
0,7,10,-0.5,10,0.008,0.0038639194984708774,3.4
0,7,10,0.0,3,0.01,0.005268554866511419,9.2
0,7,10,0.0,5,0.006,0.0020355651216119983,6.2
0,7,10,0.0,10,0.01,0.005301725397282536,3.4
0,7,10,0.5,3,0.008,0.002907100823696164,9.1
0,7,10,0.5,5,0.012,0.007020130861048485,6.1
0,7,10,0.5,10,0.01,0.005928526173809582,3.4
0,7,10,1.0,3,0.006,0.0025840593484403583,8.4
0,7,10,1.0,5,0.01,0.004747979495828043,5.8
0,7,10,1.0,10,0.016,0.00695139520866537,3.5
0,7,15,-1.0,3,0.0,0.0,11.7
0,7,15,-1.0,5,0.006,0.0029742738813589593,7.6
0,7,15,-1.0,10,0.008,0.004576333872686922,4.3
0,7,15,-0.5,3,0.004,0.0014634131074747485,11.9
0,7,15,-0.5,5,0.008,0.005602059991327963,7.9
0,7,15,-0.5,10,0.01,0.00555945592738104,4.3
0,7,15,0.0,3,0.006,0.002613694774247774,11.8
0,7,15,0.0,5,0.008,0.0029784028584033716,7.9
0,7,15,0.0,10,0.012,0.005926492269820878,4.3
0,7,15,0.5,3,0.012,0.004577615403783882,11.6
0,7,15,0.5,5,0.014,0.007368008942592145,7.7
0,7,15,0.5,10,0.016,0.00796373426140378,4.2
0,7,15,1.0,3,0.01,0.004613694774247774,10.6
0,7,15,1.0,5,0.014,0.005968220272465991,7.2
0,7,15,1.0,10,0.016,0.008504860046496504,4.2
0,10,5,-1.0,3,0.006,0.003314474365544007,6.6
0,10,5,-1.0,5,0.004,0.0021232126232897013,4.5
0,10,5,-1.0,10,0.008,0.0032131883832516453,3.0
0,10,5,-0.5,3,0.01,0.004978402858403372,6.7
0,10,5,-0.5,5,0.01,0.005147534980725662,4.7
0,10,5,-0.5,10,0.006,0.0030355651216119983,2.9
0,10,5,0.0,3,0.014,0.006908791144718446,6.7
0,10,5,0.0,5,0.014,0.006570452055277166,4.6
0,10,5,0.0,10,0.006,0.002333333333333333,2.9
0,10,5,0.5,3,0.014,0.005739645571344777,6.4
0,10,5,0.5,5,0.014,0.0053890158649424385,4.5
0,10,5,0.5,10,0.008,0.004055758502003546,2.9
0,10,5,1.0,3,0.016,0.007619343406428999,6.1
0,10,5,1.0,5,0.01,0.00626872665799463,4.5
0,10,5,1.0,10,0.01,0.005963201783068392,3.1
0,10,10,-1.0,3,0.002,0.0007124143742160444,11.2
0,10,10,-1.0,5,0.008,0.002684279088085004,7.5
0,10,10,-1.0,10,0.006,0.002702231788278665,3.6
0,10,10,-0.5,3,0.006,0.0030355651216119983,9.6
0,10,10,-0.5,5,0.008,0.0040974865046486605,6.8
0,10,10,-0.5,10,0.008,0.004486119988685127,3.9
0,10,10,0.0,3,0.01,0.005811119397535196,11.4
0,10,10,0.0,5,0.006,0.0030355651216119983,8.1
0,10,10,0.0,10,0.008,0.004343344127787502,4.5
0,10,10,0.5,3,0.014,0.00647755287897333,10.2
0,10,10,0.5,5,0.01,0.004982765020676317,6.7
0,10,10,0.5,10,0.012,0.006268554866511418,3.8
0,10,10,1.0,3,0.01,0.005948547762717919,9.1
0,10,10,1.0,5,0.01,0.005670623852227868,6.3
0,10,10,1.0,10,0.014,0.008006695359368503,4.2
0,10,15,-1.0,3,0.0,0.0,11.3
0,10,15,-1.0,5,0.008,0.0043757656057970456,7.1
0,10,15,-1.0,10,0.01,0.0036511085573138866,4.3
0,10,15,-0.5,3,0.006,0.003351835267104859,12.1
0,10,15,-0.5,5,0.01,0.00503969409865641,8.6
0,10,15,-0.5,10,0.008,0.004896918237758784,4.7
0,10,15,0.0,3,0.004,0.0017737056144690832,11.4
0,10,15,0.0,5,0.01,0.005498978229086747,7.6
0,10,15,0.0,10,0.012,0.006566151286749543,4.0
0,10,15,0.5,3,0.014,0.00754563220423179,12.2
0,10,15,0.5,5,0.014,0.006931484574877446,7.9
0,10,15,0.5,10,0.016,0.00758489134456092,6.4
0,10,15,1.0,3,0.01,0.006576333872686922,12.7
0,10,15,1.0,5,0.014,0.005900766151179837,8.8
